,Australia,Canada,France,Japan,United States
IT 19*32,,,0.21958485995773347,,
IT 2*14,,,,-1.8451648099178683e-16,
IT 20*21,,,,,-1.0634982258068436e-14
IT 20*22,,,,,-2.3011544947142787e-08
IT 20*23,,,,,-1.505893773239229e-08
IT 20*28,-3.101826605994664e-07,1.1219658776193367e-07,,,
IT 20*32,,,,1.6688552088361072e-10,
IT 21*22,,,,,-2.3011459328483643e-08
IT 21*24,2.6347873064502112e-06,,,,
IT 21*25,-3.882872624685791e-06,,,,
IT 22*23,-0.00657212962022119,,,0.0009680216445219834,
IT 22*24,,,1.3213338043775386e-07,,
IT 22*28,0.01920054720115603,,0.0005629271358684384,,
IT 22*29,-0.005686893901270388,,,0.0004977886849812631,
IT 22*32,,,,0.00033711150560523223,
IT 23*26,,,,,-4.982413549108959e-09
IT 23*27,,,,2.2197347773251677e-08,-5.5668754377797815e-09
IT 23*28,0.00280063252051691,,,,0.015593256181581467
IT 23*29,,,0.001916955378104187,-0.0002201858450009636,
IT 24*32,,,,9.266380670004598e-08,
IT 25*32,,,,-9.607318665102897e-06,
IT 26*28,,,,-1.8832692247504715e-09,
IT 27*29,,,,-8.76684361465521e-08,
IT 28*29,,,,0.00014134384323012255,
IT 28*32,,-0.015721001997122282,,,0.05333694285974877
IT 29*32,-0.0060567146543537426,,,0.0003590126094665741,
IT 30*32,,,,8.175269088843967e-10,
IT 31*32,,,,3.4732174191136365e-08,
IT 4*10,0.15438544139283933,,,-6.142186698735077e-07,
IT 4*11,0.01369189094778632,,-0.037071437423138176,,
IT 4*12,,,,,-1.9726308655781151e-07
IT 4*13,,,,,2.2251692519760402e-07
IT 4*14,,,,,9.007902431986204e-07
IT 4*15,,,,,-7.587080641281018e-07
IT 4*16,,-0.20030551826878745,,5.850559884715922e-06,
IT 4*17,,0.03834751980837872,0.025085634184286366,9.108624762445622e-06,
IT 4*18,,,,,-5.654136418364814e-06
IT 4*19,,,,,5.719383893441778e-06
IT 4*22,,,0.11554164901063352,1.2725690790640751e-05,-0.00781309620957961
IT 4*23,,0.027785889075768067,,,
IT 4*28,-0.09794905562069323,-0.03158331100846777,,1.1799107379280215e-05,-0.14760648987365094
IT 4*29,0.039060387815047476,,,,
IT 4*5,-0.05495490946545815,,-0.12113263735747892,,
IT 4*9,,,,1.899634865316697e-07,
IT 5*10,,0.015328152120667175,,,
IT 5*11,0.010334168412336808,,-0.03419241487729706,3.667619381384127e-06,
IT 5*15,,-3.012405369372903e-07,,,
IT 5*16,,,,5.310929606188443e-06,
IT 5*17,,,0.02002917503918417,,
IT 5*21,,,,8.312482881200039e-08,
IT 5*22,-0.002428503949278543,,-0.03698256032768039,,
IT 5*23,,,-0.015264639028083516,5.364277178062248e-05,
IT 5*24,,,3.979991708877391e-07,,
IT 5*28,0.015187455460670525,,,,
IT 5*32,-0.062010758844976366,,,,
IT 9*22,3.1807478912311327e-07,,,,
IT 9*27,,,,1.19866953689077e-12,
"Imports of goods and services_Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",0.061377578247377766,,,,0.053336934690082424
"Imports of goods and services_US dollars, current prices, current PPPs, annual levels, seasonally adjusted",,1.3893233781672315e-06,,,
"Private final consumption expenditure_Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter",,0.1353223348871384,,-1.8760733157244872e-06,
"Private final consumption expenditure_National currency, current prices, annual levels, seasonally adjusted",,,,-1.1563718639773241e-08,
"Residual item_National currency, volume estimates, OECD reference year, annual levels, seasonally adjusted",-1.3018441029190611e-05,-1.7365073726364437e-05,-3.217204333145278e-06,-2.0103129768616041e-07,-4.215845726965084e-06
add. Purchasing power parity of GDP_National currency per US Dollar,-2.7783954718822894,-5.568310105399364,,,
